Doc No,일 자,차대,계정CD,계정명,적 요,거래처명,금액,입력자
202505001,2025/05/03,차변,52100,지급수수료,05월 지급수수료 정산,대성엔지니어링,3902000.0,박과장
202505001,2025/05/03,대변,11100,현금및현금성자산,05월 지급수수료 정산,대성엔지니어링,-3902000.0,박과장
202505002,2025/09/19,차변,21300,미지급금,09월 미지급금 정산,동보전자,1267000.0,박과장
202505002,2025/09/19,대변,40100,매출,09월 미지급금 정산,동보전자,-1267000.0,박과장
202505003,2025/01/25,차변,45100,매출원가,01월 매출원가 정산,제일기공,231000.0,이차장
202505003,2025/01/25,대변,21300,미지급금,01월 매출원가 정산,제일기공,-231000.0,이차장
202505004,2025/01/05,차변,21100,매입채무,01월 매입채무 정산,(주)한빛물산,79000.0,박과장
202505004,2025/01/05,차변,40100,매출,01월 매입채무 정산,(주)한빛물산,34000.0,박과장
202505004,2025/01/05,대변,21500,미지급비용,01월 매입채무 정산,(주)한빛물산,-113000.0,박과장
202505005,2025/12/03,차변,51500,여비교통비,12월 여비교통비 정산,대성엔지니어링,120000.0,이차장
202505005,2025/12/03,대변,21300,미지급금,12월 여비교통비 정산,대성엔지니어링,-120000.0,이차장
202505006,2025/10/14,차변,45100,매출원가,10월 매출원가 정산,동보전자,492000.0,김대리
202505006,2025/10/14,대변,21300,미지급금,10월 매출원가 정산,동보전자,-492000.0,김대리
202505007,2025/04/19,차변,45100,매출원가,04월 매출원가 정산,삼정유통,1959000.0,김대리
202505007,2025/04/19,대변,11100,현금및현금성자산,04월 매출원가 정산,삼정유통,-1959000.0,김대리
202505008,2025/03/14,차변,52300,소모품비,03월 소모품비 정산,삼정유통,710000.0,박과장
202505008,2025/03/14,차변,11300,매출채권,03월 소모품비 정산,삼정유통,305000.0,박과장
202505008,2025/03/14,대변,40100,매출,03월 소모품비 정산,삼정유통,-1015000.0,박과장
202505009,2025/06/03,차변,52100,지급수수료,06월 지급수수료 정산,삼정유통,124000.0,김대리
202505009,2025/06/03,대변,51300,복리후생비,06월 지급수수료 정산,삼정유통,-124000.0,김대리
202505010,2025/03/06,차변,45100,매출원가,03월 매출원가 정산,제일기공,100000.0,김대리
202505010,2025/03/06,대변,51100,급여,03월 매출원가 정산,제일기공,-100000.0,김대리
202505011,2025/10/09,차변,11300,매출채권,10월 매출채권 정산,명진산업,1791000.0,김대리
202505011,2025/10/09,대변,51500,여비교통비,10월 매출채권 정산,명진산업,-1791000.0,김대리
202505012,2025/07/25,차변,21300,미지급금,07월 미지급금 정산,삼정유통,4345000.0,박과장
202505012,2025/07/25,대변,11100,현금및현금성자산,07월 미지급금 정산,삼정유통,-4345000.0,박과장
202505013,2025/01/10,차변,52100,지급수수료,01월 지급수수료 정산,대성엔지니어링,141000.0,박과장
202505013,2025/01/10,대변,25100,예수금,01월 지급수수료 정산,대성엔지니어링,-141000.0,박과장
202505014,2025/03/06,차변,25100,예수금,03월 예수금 정산,명진산업,343000.0,김대리
202505014,2025/03/06,차변,51500,여비교통비,03월 예수금 정산,명진산업,147000.0,김대리
202505014,2025/03/06,대변,52100,지급수수료,03월 예수금 정산,명진산업,-490000.0,김대리
202505015,2025/01/26,차변,51500,여비교통비,01월 여비교통비 정산,제일기공,947000.0,최사원
202505015,2025/01/26,대변,21500,미지급비용,01월 여비교통비 정산,제일기공,-947000.0,최사원
202505016,2025/07/16,차변,11100,현금및현금성자산,07월 현금및현금성자산 정산,제일기공,5313000.0,최사원
202505016,2025/07/16,대변,21300,미지급금,07월 현금및현금성자산 정산,제일기공,-5313000.0,최사원
202505017,2025/06/07,차변,51500,여비교통비,06월 여비교통비 정산,명진산업,88000.0,최사원
202505017,2025/06/07,대변,52300,소모품비,06월 여비교통비 정산,명진산업,-88000.0,최사원
202505018,2025/08/10,차변,21300,미지급금,08월 미지급금 정산,우성테크,118000.0,박과장
202505018,2025/08/10,차변,52100,지급수수료,08월 미지급금 정산,우성테크,50000.0,박과장
202505018,2025/08/10,대변,21500,미지급비용,08월 미지급금 정산,우성테크,-168000.0,박과장
202505019,2025/03/10,차변,52100,지급수수료,03월 지급수수료 정산,(주)한빛물산,91000.0,김대리
202505019,2025/03/10,대변,21300,미지급금,03월 지급수수료 정산,(주)한빛물산,-91000.0,김대리
202505020,2025/12/03,차변,51500,여비교통비,12월 여비교통비 정산,대성엔지니어링,864000.0,최사원
202505020,2025/12/03,대변,51100,급여,12월 여비교통비 정산,대성엔지니어링,-864000.0,최사원
202505021,2025/08/24,차변,51500,여비교통비,08월 여비교통비 정산,대성엔지니어링,481000.0,박과장
202505021,2025/08/24,대변,21100,매입채무,08월 여비교통비 정산,대성엔지니어링,-481000.0,박과장
202505022,2025/04/07,차변,21100,매입채무,04월 매입채무 정산,-,1043000.0,박과장
202505022,2025/04/07,대변,51300,복리후생비,04월 매입채무 정산,-,-1043000.0,박과장
202505023,2025/11/24,차변,25100,예수금,11월 예수금 정산,-,614000.0,이차장
202505023,2025/11/24,대변,11300,매출채권,11월 예수금 정산,-,-614000.0,이차장
202505024,2025/11/23,차변,21300,미지급금,11월 미지급금 정산,삼정유통,524000.0,김대리
202505024,2025/11/23,대변,52100,지급수수료,11월 미지급금 정산,삼정유통,-524000.0,김대리
202505025,2025/05/13,차변,51300,복리후생비,05월 복리후생비 정산,우성테크,461000.0,이차장
202505025,2025/05/13,차변,40100,매출,05월 복리후생비 정산,우성테크,197000.0,이차장
