전표번호,회계일자,계정과목,적요,차변금액,입력자,입력일시
JV00831,2025-01-01,접대비,접대비 01월 정산분,2297000.0,정부장,2025-01-02 12:26:00
JV02416,2025-01-01,매출원가,매출원가 01월 정산분,4185000.0,박과장,2025-01-05 15:12:00
JV02705,2025-01-01,지급수수료,지급수수료 01월 정산분,2412000.0,김대리,2025-01-04 13:40:00
JV02991,2025-01-01,외주가공비,외주가공비 01월 정산분,346000.0,이차장,2025-01-01 09:54:00
JV02397,2025-01-02,외주가공비,외주가공비 01월 정산분,561000.0,이차장,2025-01-06 11:03:00
JV02655,2025-01-02,잡비,잡비 01월 정산분,74000.0,김대리,2025-01-05 17:21:00
JV00230,2025-01-02,잡비,잡비 01월 정산분,201000.0,최사원,2025-01-02 18:48:00
JV00014,2025-01-02,매출,매출 01월 정산분,278000.0,김대리,2025-01-03 17:24:00
JV00076,2025-01-02,외주가공비,외주가공비 01월 정산분,333000.0,최사원,2025-01-04 14:39:00
JV02953,2025-01-02,외주가공비,외주가공비 01월 정산분,9800000.0,이차장,2025-01-05 09:38:00
JV01732,2025-01-02,광고선전비,광고선전비 01월 정산분,1035000.0,정부장,2025-01-05 09:45:00
JV01230,2025-01-02,소모품비,소모품비 01월 정산분,1167000.0,정부장,2025-01-04 09:19:00
JV00353,2025-01-02,소모품비,소모품비 01월 정산분,3586000.0,최사원,2025-01-02 15:13:00
JV02194,2025-01-03,접대비,접대비 01월 정산분,77000.0,이차장,2025-01-06 15:09:00
JV02751,2025-01-03,매출원가,매출원가 01월 정산분,419000.0,최사원,2025-01-06 15:05:00
JV02591,2025-01-03,매출,매출 01월 정산분,769000.0,정부장,2025-01-05 09:18:00
JV00141,2025-01-03,접대비,접대비 01월 정산분,300000.0,김대리,2025-01-03 17:19:00
JV01848,2025-01-03,지급수수료,지급수수료 01월 정산분,498000.0,이차장,2025-01-04 11:43:00
JV01362,2025-01-03,매출,매출 01월 정산분,202000.0,박과장,2025-01-04 15:46:00
JV02472,2025-01-04,매출원가,매출원가 01월 정산분,18076000.0,김대리,2025-01-04 14:39:00
JV02673,2025-01-04,지급수수료,지급수수료 01월 정산분,225000.0,김대리,2025-01-05 12:47:00
JV01756,2025-01-04,지급수수료,지급수수료 01월 정산분,31000.0,박과장,2025-01-04 15:59:00
JV01496,2025-01-05,여비교통비,여비교통비 01월 정산분,494000.0,최사원,2025-01-07 18:28:00
JV00066,2025-01-05,소모품비,소모품비 01월 정산분,3047000.0,이차장,2025-01-06 16:56:00
JV02026,2025-01-05,여비교통비,여비교통비 01월 정산분,1109000.0,최사원,2025-01-05 12:46:00
JV02272,2025-01-05,매출원가,매출원가 01월 정산분,147000.0,김대리,2025-01-08 14:44:00
JV01361,2025-01-05,잡비,잡비 01월 정산분,348000.0,김대리,2025-01-06 14:11:00
