계정과목,당기금액,전기금액
현금및현금성자산,1934801000.0,1820000000
단기금융상품,1064140000.0,900000000
매출채권,5893000000.0,4150000000
대손충당금,-87150000.0,-83000000
미수금,216968000.0,210000000
선급금,146818000.0,145000000
선급비용,75567000.0,68000000
재고자산,4112400000.0,2980000000
토지,3945269000.0,3500000000
건물,2144978000.0,2400000000
감가상각누계액(건물),-864712000.0,-720000000
기계장치,1944944000.0,1850000000
감가상각누계액(기계장치),-1053960000.0,-940000000
차량운반구,335267000.0,320000000
비품,184659000.0,180000000
무형자산,286437000.0,260000000
임차보증금,453682000.0,400000000
매입채무,2750279000.0,2640000000
미지급금,502200000.0,480000000
미지급비용,347731000.0,310000000
예수금,93259000.0,95000000
선수금,203215000.0,220000000
단기차입금,900000000.0,1500000000
미지급법인세,184935000.0,185000000
장기차입금,3410000000.0,2200000000
퇴직급여충당부채,878194000.0,890000000
자본금,2035832000.0,2000000000
자본잉여금,1095504000.0,1150000000
이익잉여금,8331959000.0,5770000000
매출,27195000000.0,24500000000
매출원가,19227600000.0,17640000000
급여,2545594000.0,2450000000
퇴직급여,278061000.0,280000000
복리후생비,426913000.0,390000000
여비교통비,140569000.0,125000000
접대비,253680000.0,168000000
통신비,46579000.0,42000000
수도광열비,101540000.0,88000000
세금과공과,162454000.0,156000000
감가상각비,315771000.0,320000000
지급임차료,523819000.0,480000000
보험료,80089000.0,74000000
차량유지비,111254000.0,96000000
운반비,198321000.0,210000000
소모품비,118054000.0,118000000
지급수수료,567800000.0,340000000
광고선전비,257623000.0,285000000
대손상각비,48212000.0,45000000
이자수익,42085000.0,38000000
잡이익,21857000.0,22000000
이자비용,355100000.0,265000000
기부금,34019000.0,30000000
잡손실,20096000.0,18000000
법인세비용,460385000.0,420000000
